ROI,Frame,Wavelength,Row,Column,Intensity,Exposure started time stamp,Exposure ended time stamp
1,1,533.55630747414841,0,370,135,N/A,N/A
1,1,533.6807889601763,0,371,126,N/A,N/A
1,1,533.80526520324145,0,372,149,N/A,N/A
1,1,533.92973620125485,0,373,141,N/A,N/A
1,1,534.0542019521281,0,374,149,N/A,N/A
1,1,534.17866245377309,0,375,133,N/A,N/A
1,1,534.30311770410185,0,376,131,N/A,N/A
1,1,534.4275677010271,0,377,130,N/A,N/A
1,1,534.55201244246211,0,378,128,N/A,N/A
1,1,534.67645192632,0,379,134,N/A,N/A
1,1,534.80088615051488,0,380,136,N/A,N/A
1,1,534.9253151129609,0,381,139,N/A,N/A
1,1,535.04973881157275,0,382,140,N/A,N/A
1,1,535.1741572442653,0,383,144,N/A,N/A
1,1,535.298570408954,0,384,147,N/A,N/A
1,1,535.42297830355483,0,385,153,N/A,N/A
1,1,535.54738092598393,0,386,139,N/A,N/A
1,1,535.671778274158,0,387,134,N/A,N/A
1,1,535.79617034599391,0,388,150,N/A,N/A
1,1,535.92055713940931,0,389,171,N/A,N/A
1,1,536.04493865232189,0,390,161,N/A,N/A
1,1,536.16931488264993,0,391,147,N/A,N/A
1,1,536.293685828312,0,392,174,N/A,N/A
1,1,536.41805148722722,0,393,179,N/A,N/A
1,1,536.54241185731485,0,394,187,N/A,N/A
1,1,536.66676693649492,0,395,175,N/A,N/A
1,1,536.79111672268766,0,396,194,N/A,N/A
1,1,536.9154612138135,0,397,195,N/A,N/A
1,1,537.03980040779356,0,398,201,N/A,N/A
1,1,537.16413430254931,0,399,213,N/A,N/A
1,1,537.28846289600256,0,400,216,N/A,N/A
1,1,537.41278618607555,0,401,247,N/A,N/A
1,1,537.537104170691,0,402,262,N/A,N/A
1,1,537.66141684777176,0,403,282,N/A,N/A
1,1,537.78572421524143,0,404,307,N/A,N/A
1,1,537.91002627102364,0,405,348,N/A,N/A
1,1,538.03432301304281,0,406,375,N/A,N/A
1,1,538.1586144392237,0,407,442,N/A,N/A
1,1,538.28290054749107,0,408,446,N/A,N/A
1,1,538.40718133577059,0,409,463,N/A,N/A
1,1,538.53145680198793,0,410,530,N/A,N/A
1,1,538.65572694406956,0,411,537,N/A,N/A
1,1,538.77999175994182,0,412,553,N/A,N/A
1,1,538.9042512475321,0,413,531,N/A,N/A
1,1,539.02850540476777,0,414,511,N/A,N/A
1,1,539.15275422957666,0,415,529,N/A,N/A
1,1,539.27699771988694,0,416,516,N/A,N/A
1,1,539.40123587362746,0,417,557,N/A,N/A
1,1,539.52546868872719,0,418,600,N/A,N/A
1,1,539.64969616311566,0,419,659,N/A,N/A
1,1,539.77391829472276,0,420,740,N/A,N/A
1,1,539.89813508147881,0,421,771,N/A,N/A
1,1,540.02234652131438,0,422,833,N/A,N/A
1,1,540.14655261216069,0,423,952,N/A,N/A
1,1,540.27075335194922,0,424,946,N/A,N/A
1,1,540.39494873861179,0,425,918,N/A,N/A
1,1,540.51913877008087,0,426,962,N/A,N/A
1,1,540.64332344428919,0,427,1011,N/A,N/A
1,1,540.7675027591697,0,428,985,N/A,N/A
1,1,540.89167671265591,0,429,1076,N/A,N/A
1,1,541.01584530268212,0,430,1156,N/A,N/A
1,1,541.14000852718232,0,431,1386,N/A,N/A
1,1,541.26416638409137,0,432,1552,N/A,N/A
1,1,541.38831887134438,0,433,1738,N/A,N/A
1,1,541.512465986877,0,434,2014,N/A,N/A
1,1,541.63660772862534,0,435,2289,N/A,N/A
1,1,541.76074409452542,0,436,2589,N/A,N/A
1,1,541.8848750825141,0,437,2882,N/A,N/A
1,1,542.00900069052886,0,438,3303,N/A,N/A
1,1,542.13312091650721,0,439,3540,N/A,N/A
1,1,542.25723575838686,0,440,3768,N/A,N/A
1,1,542.38134521410666,0,441,3819,N/A,N/A
1,1,542.505449281605,0,442,3849,N/A,N/A
1,1,542.62954795882138,0,443,3643,N/A,N/A
1,1,542.75364124369548,0,444,3613,N/A,N/A
1,1,542.87772913416723,0,445,3593,N/A,N/A
1,1,543.00181162817694,0,446,3576,N/A,N/A
1,1,543.12588872366564,0,447,3548,N/A,N/A
1,1,543.2499604185748,0,448,3591,N/A,N/A
1,1,543.37402671084567,0,449,3721,N/A,N/A
1,1,543.49808759842074,0,450,3735,N/A,N/A
1,1,543.62214307924228,0,451,3791,N/A,N/A
1,1,543.74619315125324,0,452,3723,N/A,N/A
1,1,543.87023781239691,0,453,3615,N/A,N/A
1,1,543.99427706061715,0,454,3562,N/A,N/A
1,1,544.11831089385794,0,455,3505,N/A,N/A
1,1,544.24233931006393,0,456,3348,N/A,N/A
1,1,544.36636230718,0,457,3296,N/A,N/A
1,1,544.49037988315172,0,458,3237,N/A,N/A
1,1,544.61439203592465,0,459,3096,N/A,N/A
1,1,544.738398763445,0,460,2988,N/A,N/A
1,1,544.86240006365938,0,461,2959,N/A,N/A
1,1,544.986395934515,0,462,2834,N/A,N/A
1,1,545.110386373959,0,463,2665,N/A,N/A
1,1,545.23437137993938,0,464,2625,N/A,N/A
1,1,545.35835095040431,0,465,2573,N/A,N/A
1,1,545.48232508330238,0,466,2712,N/A,N/A
1,1,545.6062937765829,0,467,3188,N/A,N/A
1,1,545.7302570281953,0,468,3766,N/A,N/A
1,1,545.85421483608923,0,469,5000,N/A,N/A
1,1,545.97816719821526,0,470,6371,N/A,N/A
1,1,546.10211411252385,0,471,6135,N/A,N/A
1,1,546.22605557696636,0,472,5514,N/A,N/A
1,1,546.34999158949438,0,473,3791,N/A,N/A
1,1,546.47392214805961,0,474,2204,N/A,N/A
1,1,546.59784725061456,0,475,1717,N/A,N/A
1,1,546.721766895112,0,476,1338,N/A,N/A
1,1,546.84568107950508,0,477,1171,N/A,N/A
1,1,546.96958980174759,0,478,1057,N/A,N/A
1,1,547.09349305979322,0,479,1036,N/A,N/A
1,1,547.21739085159686,0,480,930,N/A,N/A
1,1,547.341283175113,0,481,901,N/A,N/A
